Regime,m,kappa,Bias(F),RMSE(F),Coverage(F),"Corr(F,R)",Window overlap,Var(diff)/(2V)
Partial overlap,1000,1.0,-0.0215621002139813,0.8981338401033853,0.9083585095669688,0.046810188489636,0.4227326754464683,1.194378855958293
Partial overlap,4000,1.0,-0.0028256676559976,0.6114397426210769,0.936,0.0804856068829683,0.4203155573966404,1.0016003582255997
Partial overlap,16000,1.0,0.0148900804306602,0.4396069710905796,0.949,0.0808189361252634,0.4139756889035831,0.9325734618674176
Strong overlap,1000,7.943282347242815,-0.0067258775259627,0.3201374132372985,0.943,0.5858284440885881,0.8896740062534375,0.4476880612407096
Strong overlap,4000,12.039764646185532,-0.0008443313937873,0.1784360440875921,0.95,0.7459344438753583,0.922530194556526,0.2584681653445737
Strong overlap,16000,18.248870731109616,-0.0009544021017326,0.1047820557930375,0.948,0.8108823477351804,0.9494081391110976,0.1974551304947361
Vanishing overlap,1000,0.7517808504409086,-0.0341447846449315,1.0059117666259114,0.93717277486911,0.0100021934282646,0.3504879829840392,1.267144640325132
Vanishing overlap,4000,0.6544632428265722,0.0282016928275041,0.768202249304886,0.934,-0.0389124172237581,0.2991614990201766,1.171229249519469
Vanishing overlap,16000,0.5697433446992806,0.0106488362495733,0.5939194886931275,0.946,0.0460479686897996,0.27273387198027,1.0767558346139077
